TS:11766492;TJ:278041
TS:11975699;TJ:266504
TS:11792435;TJ:270797
TS:11860244;TJ:260395
TS:11788144;TJ:257351
TS:11984974;TJ:268095
TS:11967772;TJ:274784
TS:12367671;TJ:256807
TS:11938131;TJ:266531
TS:11984908;TJ:264315
TS:12109848;TJ:338580
TS:11898162;TJ:263672
TS:11956140;TJ:257897
TS:12015445;TJ:283215
TS:11896909;TJ:273581
TS:11772442;TJ:259211
TS:12058364;TJ:263141
TS:11998379;TJ:259385
TS:11959066;TJ:258482
TS:12010360;TJ:265226
TS:11900549;TJ:279760
TS:11869421;TJ:263884
TS:12264858;TJ:259825
TS:11829594;TJ:270059
TS:11739575;TJ:267835
TS:13071084;TJ:271484
TS:11838438;TJ:270113
TS:11965362;TJ:260022
TS:12237482;TJ:253577
TS:12253490;TJ:252595
TS:11736896;TJ:263301
TS:11761365;TJ:255099
TS:12041990;TJ:268229
TS:12110105;TJ:260728
TS:12054711;TJ:255880
TS:11986206;TJ:263112
TS:11860423;TJ:272934
TS:12146520;TJ:260334
TS:11776218;TJ:262041
TS:11857315;TJ:272957
TS:11819769;TJ:257310
TS:11671186;TJ:263942
TS:12190471;TJ:267501
TS:12003903;TJ:262042
TS:12052710;TJ:261369
TS:11809209;TJ:260787
TS:11900948;TJ:273484
TS:11921001;TJ:258900
TS:11871189;TJ:260228
TS:11825545;TJ:283550
TS:12222641;TJ:265851
TS:12104231;TJ:264336
TS:12041818;TJ:263357
TS:12163646;TJ:273048
TS:11827533;TJ:267520
TS:12011158;TJ:268766
TS:12257398;TJ:275191
TS:11783177;TJ:268804
TS:12017198;TJ:265057
TS:11792976;TJ:272016
TS:11845056;TJ:290774
TS:12045793;TJ:261730
TS:11758142;TJ:290891
TS:11922277;TJ:301296
TS:12307561;TJ:265738
TS:12045840;TJ:264826
TS:12223284;TJ:277166
TS:12374646;TJ:271520
TS:11943058;TJ:277135
TS:11946428;TJ:261151
TS:12373410;TJ:268043
TS:11956163;TJ:264870
TS:12054038;TJ:256661
TS:12025704;TJ:294034
TS:12023191;TJ:261605
TS:12011279;TJ:268214
TS:11903071;TJ:266138
TS:13601340;TJ:302083
TS:12023277;TJ:272138
TS:11730964;TJ:264649
TS:11884533;TJ:273926
TS:11929194;TJ:283730
TS:12105582;TJ:259919
TS:12028020;TJ:269006
TS:11706457;TJ:255275
TS:12236013;TJ:272934
TS:12103856;TJ:267719
TS:11941403;TJ:280340
TS:11977239;TJ:260387
TS:11955728;TJ:258300
TS:11853513;TJ:304662
TS:11926837;TJ:265450
TS:17876534;TJ:300734
TS:11950379;TJ:263319
TS:12660503;TJ:283949
TS:11989168;TJ:276408
TS:12773865;TJ:270175
TS:12005571;TJ:268142
TS:11994658;TJ:280608
TS:12043273;TJ:269376
TS:11916342;TJ:270658
TS:11892704;TJ:282506
TS:12604754;TJ:262123
TS:12129489;TJ:271898
TS:11887197;TJ:266330
TS:11905059;TJ:271271
TS:11873798;TJ:263174
TS:11933477;TJ:274407
TS:11798451;TJ:266627
TS:11893318;TJ:261738
TS:12721082;TJ:273563
TS:11958895;TJ:260561
TS:11775180;TJ:259149
TS:12020366;TJ:260393
TS:11907722;TJ:268484
TS:11702713;TJ:307799
TS:12577436;TJ:256728
TS:11890882;TJ:294969
TS:12199073;TJ:357880
TS:12069504;TJ:385401
TS:12265596;TJ:414747
TS:12099782;TJ:376417
TS:11987340;TJ:386798
TS:11921604;TJ:261441
TS:11977068;TJ:381135
TS:12047353;TJ:345868
TS:12013894;TJ:271456
TS:12161181;TJ:272150
TS:12782068;TJ:257650
TS:12163581;TJ:292800
TS:11797872;TJ:254228
TS:11930728;TJ:257126
TS:11797867;TJ:286197
TS:11747504;TJ:262602
TS:12551735;TJ:291320
TS:11798504;TJ:261227
TS:11916229;TJ:271810
TS:12010603;TJ:276781
TS:11841909;TJ:257898
TS:11791094;TJ:273980
TS:11859131;TJ:268655
TS:12000373;TJ:278198
TS:12139676;TJ:254701
TS:11873853;TJ:262728
TS:12029901;TJ:275556
TS:12000469;TJ:271948
TS:11996725;TJ:268892
TS:12247375;TJ:269722
TS:11837633;TJ:287338
TS:11990304;TJ:256659
TS:11968728;TJ:263227
TS:11995126;TJ:289907
TS:11857873;TJ:265000
TS:11779655;TJ:262310
TS:11872003;TJ:261723
TS:11806695;TJ:262636
TS:11811205;TJ:275650
TS:11951473;TJ:270481
TS:11768918;TJ:264642
TS:11777850;TJ:276451
TS:11842361;TJ:267788
TS:11804709;TJ:287215
TS:11885869;TJ:276408
TS:11908513;TJ:257032
TS:11999781;TJ:266765
TS:11961976;TJ:269060
TS:11955067;TJ:264783
TS:11961924;TJ:276343
TS:12166890;TJ:277896
TS:17778478;TJ:287236
TS:18488842;TJ:268239
TS:11856941;TJ:263447
TS:11984590;TJ:276500
TS:17997912;TJ:272620
TS:12713141;TJ:286820
TS:11879623;TJ:275843
TS:11628050;TJ:258626
TS:12673232;TJ:265752
TS:12009626;TJ:256332
TS:11944706;TJ:287086
TS:12002704;TJ:264511
TS:13644787;TJ:288980
TS:12070750;TJ:275050
TS:12022343;TJ:289172
TS:11984089;TJ:267777
TS:11998978;TJ:262163
TS:11868733;TJ:269127
TS:11981895;TJ:301962
TS:12050068;TJ:271251
TS:11810449;TJ:271407
TS:11734281;TJ:282560
TS:11858909;TJ:270727
TS:12052352;TJ:264011
TS:11854741;TJ:276643
TS:11883078;TJ:262744
TS:11663553;TJ:273081
TS:11975906;TJ:266213
TS:11750396;TJ:257249
TS:11888480;TJ:279231
TS:11722485;TJ:259149
TS:11751543;TJ:269311
TS:11769005;TJ:258275
TS:15179348;TJ:3391320
TS:11833492;TJ:281169
TS:11714335;TJ:250422
TS:12344368;TJ:265833
TS:11993662;TJ:258171
TS:11870065;TJ:265230
TS:12002905;TJ:274654
TS:12122581;TJ:277788
TS:11975491;TJ:268373
TS:11900301;TJ:264874
TS:12066719;TJ:292128
TS:11750215;TJ:258140
TS:12019620;TJ:276508
TS:12545119;TJ:281327
TS:12033136;TJ:267446
TS:11899567;TJ:271274
TS:12004414;TJ:260763
TS:11792502;TJ:274540
TS:12045902;TJ:257860
TS:11687957;TJ:285471
TS:11795094;TJ:265377
TS:12151835;TJ:262657
TS:11902248;TJ:266145
TS:12080068;TJ:275384
TS:11941433;TJ:264653
TS:11945731;TJ:301471
TS:11774114;TJ:276656
TS:11907691;TJ:263757
TS:11890161;TJ:274249
TS:12137534;TJ:263631
TS:11880948;TJ:262995
TS:12074626;TJ:282823
TS:12058646;TJ:275341
TS:11916282;TJ:264266
TS:11890974;TJ:264752
TS:11750443;TJ:261403
TS:11831735;TJ:271787
TS:11954496;TJ:277895
TS:12162041;TJ:268245
TS:12025456;TJ:275294
TS:11854012;TJ:262090
TS:11723249;TJ:275310
TS:11735879;TJ:274403
TS:12001539;TJ:278294
TS:11936751;TJ:271195
TS:11963289;TJ:266886
TS:11875476;TJ:287310
TS:11767854;TJ:288255
TS:11743934;TJ:262004
TS:11732908;TJ:263702
TS:11755867;TJ:273318
TS:12219543;TJ:266057
TS:11865692;TJ:260918
TS:11785348;TJ:270359
TS:12069674;TJ:272664
TS:11771964;TJ:262463
TS:11767135;TJ:270849
TS:11686171;TJ:265512
